course_id,tag
BIOL357,Advanced
BIOL388,Advanced
BIOL400,Advanced
BIOL401,Advanced
BIOL402,Advanced
BIOL403,Advanced
BIOL405,Advanced
BIOL406,Advanced
BIOL407,Advanced
BIOL411,Advanced
BIOL413,Advanced
BIOL414,Advanced
BIOL423,Advanced
BIOL428,Advanced
BIOL430,Advanced
BIOL434,Advanced
BIOL435,Advanced
BIOL438,Advanced
BIOL440,Advanced
BIOL443,Advanced
BIOL444,Advanced
BIOL445,Advanced
BIOL450,Advanced
BIOL454,Advanced
BIOL455,Advanced
BIOL456,Advanced
BIOL461,Advanced
BIOL466,Advanced
BIOL467,Advanced
BIOL480,Advanced
BIOL481,Advanced
BIOL484,Advanced
BIOL485,Advanced
BIOL489,Advanced
BIOL491,Advanced
BIOL492,Advanced
BIOL495,Advanced
BIOL496,Advanced
BMEN153,Undergraduate
BMEN201,Undergraduate
BMEN207,Undergraduate
BMEN211,Undergraduate
BMEN250,Undergraduate
BMEN253,Undergraduate
BMEN254,Undergraduate
BMEN285,Undergraduate
BMEN289,Undergraduate
BMEN291,Undergraduate
BMEN305,Advanced
BMEN311,Advanced
BMEN321,Advanced
BMEN322,Advanced
BMEN341,Advanced
BMEN343,Advanced
BMEN344,Advanced
BMEN345,Advanced
BMEN351,Advanced
BMEN353,Advanced
BMEN354,Advanced
BMEN361,Advanced
BMEN399,Advanced
BMEN400,Advanced
BMEN401,Advanced
BMEN402,Advanced
BMEN404,Advanced
BMEN406,Advanced
BMEN420,Advanced
BMEN422,Advanced
BMEN425,Advanced
BMEN427,Advanced
BMEN428,Advanced
BMEN431,Advanced
BMEN432,Advanced
BMEN433,Advanced
BMEN448,Advanced
BMEN450,Advanced
BMEN452,Advanced
BMEN453,Advanced
BMEN454,Advanced
BMEN457,Advanced
BMEN458,Advanced
BMEN461,Advanced
BMEN463,Advanced
BMEN464,Advanced
BMEN465,Advanced
BMEN469,Advanced
BMEN471,Advanced
BMEN472,Advanced
BMEN480,Advanced
BMEN481,Advanced
BMEN482,Advanced
BMEN483,Advanced
BMEN484,Advanced
BMEN485,Advanced
BMEN486,Advanced
BMEN487,Advanced
BMEN489,Advanced
BMEN491,Advanced
BOTN289,Undergraduate
BOTN291,Undergraduate
BOTN485,Advanced
BOTN491,Advanced
BUSH141,Undergraduate
BUSH241,Undergraduate
BUSH285,Undergraduate
BUSH300,Advanced
BUSH485,Advanced
BUSH489,Advanced
BUSN101,Undergraduate
BUSN125,Undergraduate
BUSN203,Undergraduate
BUSN204,Undergraduate
BUSN206,Undergraduate
BUSN207,Undergraduate
BUSN208,Undergraduate
BUSN209,Undergraduate
BUSN213,Undergraduate
BUSN225,Undergraduate
BUSN232,Undergraduate
BUSN285,Undergraduate
BUSN289,Undergraduate
BUSN299,Undergraduate
BUSN302,Advanced
BUSN325,Advanced
BUSN392,Advanced
BUSN401,Advanced
BUSN403,Advanced
BUSN404,Advanced
BUSN405,Advanced
BUSN432,Advanced
BUSN450,Advanced
BUSN455,Advanced
BUSN460,Advanced
BUSN465,Advanced
BUSN470,Advanced
BUSN481,Advanced
BUSN484,Advanced
BUSN485,Advanced
BUSN489,Advanced
BUSN491,Advanced
CARC101,Undergraduate
CARC181,Undergraduate
CARC291,Undergraduate
CARC300,Advanced
CARC301,Advanced
CARC311,Advanced
CARC321,Advanced
CARC331,Advanced
CARC411,Advanced
CARC412,Advanced
CARC421,Advanced
CARC481,Advanced
CARC484,Advanced
CARC485,Advanced
CARC489,Advanced
CARC491,Advanced
CEHD101,Undergraduate
CEHD289,Undergraduate
