2026-03-30 14:16:28,860 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.80s
2026-03-30 14:16:29,660 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Architecture
2026-03-30 14:16:29,767 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from architecture (of 0 raw)
2026-03-30 14:16:29,767 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:29,767 | INFO     | tamu_crawler | Source architecture: 0 raw → 0 normalised events
2026-03-30 14:16:29,767 | INFO     | tamu_crawler | ━━━ Crawling source: veterinary (livewhale_json) ━━━
2026-03-30 14:16:29,768 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:30,661 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Veterinary%20Medicine
2026-03-30 14:16:30,772 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from veterinary (of 0 raw)
2026-03-30 14:16:30,772 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:30,772 | INFO     | tamu_crawler | Source veterinary: 0 raw → 0 normalised events
2026-03-30 14:16:30,772 | INFO     | tamu_crawler | ━━━ Crawling source: libraries (livewhale_json) ━━━
2026-03-30 14:16:30,772 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:31,662 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/University%20Libraries
2026-03-30 14:16:31,810 | INFO     | tamu_crawler.parsers.livewhale | Parsed 159 events from libraries (of 176 raw)
2026-03-30 14:16:32,086 | DEBUG    | tamu_crawler.food_detector | Food detected (0.45, unknown, 1 cues): Aggies All Booked - General Meeting — medium_keyword:general meeting
2026-03-30 14:16:32,750 | DEBUG    | tamu_crawler.food_detector | Food detected (0.45, unknown, 1 cues): Libraries Open House — medium_keyword:open house
2026-03-30 14:16:32,760 | INFO     | tamu_crawler.normalizer | Normalised 159 events from 159 raw (filtered 0)
2026-03-30 14:16:32,760 | INFO     | tamu_crawler | Source libraries: 159 raw → 159 normalised events
2026-03-30 14:16:32,760 | INFO     | tamu_crawler | ━━━ Crawling source: diversity (livewhale_json) ━━━
2026-03-30 14:16:32,760 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Diversity
2026-03-30 14:16:32,868 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from diversity (of 0 raw)
2026-03-30 14:16:32,868 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:32,868 | INFO     | tamu_crawler | Source diversity: 0 raw → 0 normalised events
2026-03-30 14:16:32,868 | INFO     | tamu_crawler | ━━━ Crawling source: graduate_studies (livewhale_json) ━━━
2026-03-30 14:16:32,868 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:33,761 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Graduate%20and%20Professional%20School
2026-03-30 14:16:33,860 | INFO     | tamu_crawler.parsers.livewhale | Parsed 4 events from graduate_studies (of 4 raw)
2026-03-30 14:16:33,875 | DEBUG    | tamu_crawler.food_detector | Food detected (0.95, dinner, 1 cues): Dinner &amp; Dialogue — high_keyword:dinner, low_keyword:community
2026-03-30 14:16:33,898 | INFO     | tamu_crawler.normalizer | Normalised 4 events from 4 raw (filtered 0)
2026-03-30 14:16:33,898 | INFO     | tamu_crawler | Source graduate_studies: 4 raw → 4 normalised events
2026-03-30 14:16:33,898 | INFO     | tamu_crawler | ━━━ Crawling source: research (livewhale_json) ━━━
2026-03-30 14:16:33,899 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.86s
2026-03-30 14:16:34,762 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Research
2026-03-30 14:16:34,823 | INFO     | tamu_crawler.parsers.livewhale | Parsed 1 events from research (of 1 raw)
2026-03-30 14:16:34,837 | INFO     | tamu_crawler.normalizer | Normalised 1 events from 1 raw (filtered 0)
2026-03-30 14:16:34,838 | INFO     | tamu_crawler | Source research: 1 raw → 1 normalised events
2026-03-30 14:16:34,838 | INFO     | tamu_crawler | ━━━ Crawling source: international (livewhale_json) ━━━
2026-03-30 14:16:34,838 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.92s
2026-03-30 14:16:35,763 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/International
2026-03-30 14:16:35,872 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from international (of 0 raw)
2026-03-30 14:16:35,872 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:35,872 | INFO     | tamu_crawler | Source international: 0 raw → 0 normalised events
2026-03-30 14:16:35,872 | INFO     | tamu_crawler | ━━━ Crawling source: honors (livewhale_json) ━━━
2026-03-30 14:16:35,872 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:36,764 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Honors
2026-03-30 14:16:36,817 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from honors (of 0 raw)
